Question,Answer
Pharmacy,"Profession of preparing, preserving, compounding, and dispensing medical drugs"
Community Pharmacy,"Dispense medications to general community. Examples: CVS, Walgreens, Pharmacy technicians enter, count, release medications to patients"
Common equipment in Community Pharmacy,"bar code scanner (used to verify medications), robotic vial filler (can fill prescriptions for you), automated pill counters"
Institutional Pharmacy,"Dispense medications for use within the institution. Examples: small community hospitals, academic medical centers, outpatient facilities. Pharmacy techs do inventory management, sterile compounding"
Common equipment in Institutional Pharmacy,"Laminar Flowhood (used for sterile compunding), Talyst machine (help store medications to take up less space), Kit check machine (help create ansthesia trays for anesthesia counts)"
Compounding Pharmacies,create medications that aren't available through a manufacturer
Nuclear Pharmacies,create nuclear medications for imaging
Pediatric Pharmacies ,work specifically to pediatrics
Pharmacy Personel working in a Pharmacy,"Pharmacist, Pharmacy Intern, Pharmacy Technician, Pharmacy Clerk"
Role od Pharmacist,Verify and Dispense medications
Role of Pharmacy Intern,all tasks of a pharmacist 
Role of Pharmacy Technician,"Data entry, prescription processing, customer service "
Role of Pharmacy Clerk,Customer Service 
Define Pharmacy Technician,"licensed healthcare worker who assists the pharmacist in various tasks that must be completed under the supervision of a pharmacist. May not take any therapy recommendations, take transfer/phone or verify prescriptions"
List of Tasks of Pharmacy Technician,"Data entry, insurance billing, prescription processing, customer service, inventory management, compounding, scheduling, supervising, obtaining clinical values"
Define Pharmacist,"Professionaly qualified to prepare and dispense medicinal drugs, requires more education than pharmacy tech, legally perform tasks such as taking phone prescriptions, making therapy recommendations, verifying prescriptions"
List of Tasks of Pharmacist,"Verify prescriptions, counsel patients, make therapeutic recommendations, supervise pharmacy staff, analyze medication records, administer vaccines"
A pharmacy technician can…,"call insurance company on behalf of a patient, take verbal refills for a prescription so long as it does not change, obtain and enter all demographic and insurance info for a patient's prescription"
A pharmacy technician cannot… ,"take a new phone prescription, verify prescriptions for dispensing, counsel patients or make any therapy recommendations"
Qualities of a Pharmacy Technician,"stress management, efficient prioritization skills, strong communication skills, cultural competence, professionalism "
Stress in Pharmacy ,"sources of stress include: high volume of prescriptions, phone calls, low levels of staff. Successful PharmTech able to delegate tasks based on importance in order to work efficiently / minimize stress"
Stress Management of Pharmacy Technician,"meditation, breathing techniques, self-reflection for self improvement"
Communication of Pharmacy Technician,"good verbal (attitude and tone) and non-verbal (open body language, eye contact) communication skills to pharmacists, patients, other staff, other healthcare professionals (doctors, nurses) (inter-professional)"
Cultural Competence of Pharmacy Technician,"Cultural and linguistic competence is a set of congruent behaviors, attitudes, and policies that come together in a system, agency, or among professionals that enable effective work in cross-cultural situations"
Cultural Competence of Pharmacy Technician (cont),"able to effectively work with those that are different from them, ability to effectively treat those that are of a differnet race, gender, religion is essential"
Professionalism of Pharmacy Technician,"conduct, aims, or qualities that mark a professional person. Combination of appearance (good hygiene, well-groomed/dressed), personality (integrity, trustworhtiness), and actions (timeliness, active listening)"
How to get certified as a Pharmacy Technicain?,"Pharmacy Technician Certification exam (PTCE), or Exam for the Certification of Pharmacy Technicians (ExCPT)"
How to get a license as a Pharmacy Technician?,Need to register with your state in order to practice
