Question,Answer
Generic: Lisinopril,Brand: Prinivil. Class: ACEi. Indication: Antihypertensive. Schedule: NCLM. 
Metformin,"Glucophage, Biguanide, Diabetes medication, NCLM."
Generic: Metoprolol Succinate ER,"Toprol XL. Beta-blocker, Antihypertensive, NCLM"
Losartan potassium,"Cozaar, ARB, Antihypertensive, NCLM"
Hydrochlorothiazide,"Microzide, Thiazide diuretic, Antihypertensive, NCLM"
Atorvastatin,"Lipitor, HMG-CoA Reductase Inhibitor, Cholesterol lowering, NCLM"
Amiodipine,"Norvasc, Calcium Channel Blocker, Antihypertensive, NCLM"
Omeprazole,"Prilosec, PPI, Acid-Reflux/GERD, OTC and NCLM (strength)"
Albuterol,"ProAir HFA / Ventolin HFA, Beta agonist, Bronchodilator/asthma, NCLM"
Hydrocodone/APAP,"Vicodin/Norco/Lortab, Opioid analgesic combo, Pain reliever, Schedule II"
Levothyroxine,"Synthroid/Levoxyl, Thyroid hormone, Hypothyroidism, NCLM"
Metoprolol tartate,"Lopressor, Beta-blocker, Antihypertensive, NCLM"
Simvastatin,"Zocor, HMG-CoA Reductase Inhibitor, Cholesterol lowering, NCLM"
Gabapentin,"Neurontin, Anticonvulsant, Neuropathic pain/seizures, NCLM (Schedule V in some states)"
Sertraline,"Zoloft, SSRI, Antidepressant, NCLM"
Fluticasone,"Flonase, Nasal steroid, Allergic rhinitis, OTC and NCLM as generic"
Amoxicillin,"Amoxil, Penicillin antibiotic, Bacterial infection, NCLM"
Citalopram,"Celexa, SSRI, Antidepressant, NCLM"
Carvedilol ,"Coreg, Beta-blocker, Antihypertensives, NCLM"
Tramadol ,"Ultram, Opioid Analgesic, Pain relief, Schedule IV"
Montelukast,"Singulair, Leukotriene modulator, Asthma treatment, NCLM"
Pantoprazole Sodium,"Protonix, PPI, Acid reflud/GERD, NCLM"
Mixed Amphetamine Salts,"Adderall, Stimulant, ADHD, Schedule II"
Trazodone,"Desyrel, Antidepressant, Depression, NCLM"
Rosuvastatin,"Crestor, HMG-CoA Reductase Inhibitor, Cholesterol-lowering, NCLM"
Furosemide,"Lasix, Loop pf Henle diuretic, Antihypertensive, NCLM"
Acetaminophen,"Tylenol, Anti-pyretic/analgesic, Pain relief, OTC"
Ibuprofen,"Motrin, NSAID, Pain/Inflammation Relief, OTC and NCLM (strength)"
Fluoxetine,"Prozac, SSRI, Antidepressant, NCLM"
Semaglutide,"Ozempic, GLP-1 agonists, Type2 Diabetes (off-label Weight loss), NCLM"
Insulin Glargine,"Lantus, Long-acting insulin, Diabetes agent, NCLM"
Clonazepam,"Klonopin, Benzodiazepine, Anxiety/Sedative, Schedule IV"
Tamsulosin,"Flomax, Alpha-blocker, Enlarged prostate, NCLM"
Atenolol,"Tenormin, Beta-blocker, Antihypertensive, NCLM"
Potassium,"Klor-Con, electrolyte, electrolyte, NCLM"
Clopidogrel,"Plavix, P2Y12 inhibitor/anti-platelet, Clot prevention, NCLM"
Propanolol,"Inderal, beta-blocker, antihypertensive, NCLM"
Aspirin,"N/A, NSAID/Anti-platelet, Pain-relief/Clot-prevention, OTC"
Cyclobenzaprine,"Flexeril, Muscle relaxer, Pain relief, NCLM"
Lisinopril/HCTZ,"Zestoretic, ACEi/Thiazide Diuretic, Antihypertensives, NCLM"
Venlafaxine,"Effexor, SNRI, Antidepressant, NCLM"
Zolpidem Tartate,"Ambien, Sedative, Sleep, Schedule IV"
Warfarine,"Coumadin, Vitamin K Antagonist, Anti-coagulation/Blood thinner, NCLM"
Oxycodone,"OxyContin, Opioid Analgesic, Pain Relief, Schedule II"
Ethinyl Estradiol / Norethindrone,"Gildess/Junel/Loestrin / Microgestin, Oral contraceptive, Pregnancy prevention/Hormone regulation, NCLM"
