Question,Answer
INDICATION: HYPERTENSION,CLASS: ACE INHIBITORS
Lisinopril,"Prinivil, ACEi, Antihypertensive, NCLM. "
Lisinopril/HCTZ,"Zestoretic, ACEi/Thiazide Diuretic, Antihypertensives, NCLM"
Ramipril,"Altace, ACEi, Antihypertensive, NCLM"
Benazepril,"Lotensin, ACEi, Antihypertensive, NCLM"
Enalapril,"Vasotec, ACEi, Antihypertensive, NCLM"
Amlodipine/Benazepril,"Lotrel, ACEi / Calcium Channel Blocker, Antihypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: BETA-BLOCKERS
Metoprolol Succinate Extended Release,"Toprol XL. Beta-blocker, Antihypertensive, NCLM"
Metoprolol tartate,"Lopressor, Beta-blocker, Antihypertensive, NCLM"
Carvedilol ,"Coreg, Beta-blocker, Antihypertensives, NCLM"
Atenolol,"Tenormin, Beta-blocker, Antihypertensive, NCLM"
Propanolol,"Inderal, Beta-blocker, Antihypertensive, NCLM"
Nebivolol,"Bystolic, Beta-Blocker, Anti-hypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: ARB
Losartan potassium,"Cozaar, ARB, Antihypertensive, NCLM"
Losartan / Hydrochlorothiazide,"Hyzaar, ARB/Thiazide Diuretic, Antihypertensive, NCLM"
Valsartan,"Diovan, ARB, Antihypertensive, NCLM"
Valsartan/HCTZ,"Diovan HCT, ARB/Thiazide Diuretic, Antihypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: DIURETICS
Hydrochlorothiazide,"Microzide, Thiazide diuretic, Antihypertensive, NCLM"
Chlorthalidone,"Hygroton, Thiazide Diuretic, Antihypertensive, NCLM"
Furosemide,"Lasix, Loop of Henle diuretic, Antihypertensive, NCLM"
Spironolactone,"Aldactone, Potassium-Sparing Diuretic, Antihypertensive, NCLM"
Triamterene/HCTZ,"Dyazide/Maxzide, Potassium Sparing Diuretic/Thiazide, Antihypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: ALPHA-2 AGONISTS
Guanfacine,"Tenex, Alpha2-Agonist, ADHD/Antihypertensive, NCLM"
Clonidine,"Catapres, Alpha-2 Agonist, Antihypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: ALPHA-2 CALCIUM CHANNEL BLOCKER
Amiodipine,"Norvasc, Calcium Channel Blocker, Antihypertensive, NCLM"
Diltiazem,"Cardizem, Calcium Channel Blocker, Antihypertensive, NCLM"
Verapamil,"Verelan, Calcium Channel Blocker, Antihypertensive, NCLM"
Nifedipine,"ProCardia, Calcium Channel Blocker, Antihypertensive, NCLM"
INDICATION: HYPERTENSION,CLASS: HMG-CoA REDUCTASE INHIBITOR
Atorvastatin,"Lipitor, HMG-CoA Reductase Inhibitor, Cholesterol lowering, NCLM"
Simvastatin,"Zocor, HMG-CoA Reductase Inhibitor, Cholesterol lowering, NCLM"
Rosuvastatin,"Crestor, HMG-CoA Reductase Inhibitor, Cholesterol-lowering, NCLM"
Lovastatin,"Mevacor, HMG-CoA Reductase Inhibitor, Cholesterol lowering, NCLM"
INDICATION: CHOLESTEROL LOWERING,CLASS: MIXED
Gemfibrozil,"Lopid, Fibrate Derivative, Cholesterol lowering, NCLM"
Fenofibrate,"Tricor, Fibric Acid derivative, Cholesterol lowering, NCLM"
Omega-3-Acid Ethyl Esters,"Lovaza, Omega-3 Fatty Acids, Cholesterol lowering, NCLM"
Ezetimibe,"Zetia, Cholesterol Absorption Inhibitor, Cholesterol Lowering, NCLM"
INDICATION: ARRYTHMIA,CLASS: CLASS III ANTI-ARRYTHMIC
Amiodarone,"Cordarone, Class III Anti-Arrythmic, Arrythmias, NCLM"
INDICATION: ANGINA / HEART FAILURE,CLASS: NITRATES / VASODILATOR
Hydralazine,"Apresoline, Vasodilator, Angina/Heart Failure, NCLM"
Isosorbide,"Imdur, Nitrate, Angina/Heart Failure, NCLM"
Nitroglycerin,"Nitro-STAT, Nitrate Derivative, Angina/Heart Failure, NCLM"
Digoxin,"Lanoxin, Cardiac Glycoside, Heart Failure, NCLM"
INDICATION: ANTICOAGULATION / BLOOD THINNERS,CLASS: MIXED
Clopidogrel,"Plavix, P2Y12 inhibitor/anti-platelet, Clot prevention, NCLM"
Warfarine,"Coumadin, Vitamin K Antagonist, Anti-coagulation/Blood thinner, NCLM"
Rivaroxaban,"Xarelto, Factor Xa Inhibitor, Anticoagulant/Blood thinner, NCLM"
Apixaban,"Eliquis, Factor Xa inhibitor, Anticoagulation/Blood thinner, NCLM"
INDICATION: PAIN RELIEF,CLASS: OPIOIDS
Morphine,"MS Contin, Opioid Analgesic, Pain Relief, Schedule II"
Oxycodone,"OxyContin, Opioid Analgesic, Pain Relief, Schedule II"
Hydrocodone/APAP,"Vicodin/Norco/Lortab, Opioid analgesic combo, Pain reliever, Schedule II"
Hydrocodone Bitartate,"N/A, Opioid Analgesic, Pain Relief, Schedule II"
Tramadol ,"Ultram, Opioid Analgesic, Pain relief, Schedule IV"
INDICATION: PAIN RELIEF,CLASS: OTHERS
